ID,title,authors
chowdhuryMSR2016-eProjects,eProjects,chowdhury
pang2016ICSMEERA,pang2016ICSMEERA,pang
hindleMSR2008-large-changes,large-changes,hindleMSR
hindle2007ICSM-release-pattern,release-pattern,hindle
hindle2016NIME-hacking-nimes,hacking-nimes,hindle
hindle2008ICPC-reading-beside-the-lines,reading-beside-the-lines,hindle
posnett2011WCRE-Got-Issues,Got-Issues,posnett
hindle2012ICSENEIR-Green-Mining,Green-Mining,hindle
hindle2010MSR-Challenge-Description,Challenge-Description,hindle
hindle2011EMSE-automated-topic-naming,automated-topic-naming,hindle
davies2012ESME-Bertillonage,Bertillonage,davies
hindle2013NIME-SWARMED,SWARMED,hindle
davies2011MSR-bertillonage,bertillonage,davies
hindle2014NIME-cloudorch,cloudorch,hindle
hindle2011ICSENIER-Multifractal,Multifractal,hindle
burlet2015MSR-music-coders,music-coders,burlet
hindle2016EMSE-bugdedup,bugdedup,hindle
chowdhury2015IGSC-systemcall,systemcall,chowdhury
romansky2014CASCON,romansky2014CASCON,romansky
hindle2017NIME-Dijj,Dijj,hindle
barr2012cid,barr2012cid,barr
hindle2016CACM,hindle2016CACM,hindle
hindle2012MSR-Green-Mining,Green-Mining,hindle
hindleICPC2009-large-changes-classification,large-changes-classification,hindleICPC
zhang2014IEEESoftware-user-choice,user-choice,zhang
hindle2005MSR-SCQL,SCQL,hindle
alipour2013MSR-bugdedup,bugdedup,alipour
german2004SEKE-softChange,softChange,german
hindle2008SCAM-indentation-shape,indentation-shape,hindle
chowdhury2015MSR-IRC,IRC,chowdhury
posnett2011MSR-readability,readability,posnett
bazelli2013ICSMERA-Personality,Personality,bazelli
rasmussen2014GREENS-adblock,adblock,rasmussen
hindle2007MSR-Release-Pattern-Discovery,Release-Pattern-Discovery,hindle
burlet2017PeerJ,burlet2017PeerJ,burlet
aggarwal2015ICSME-greenadvisor,greenadvisor,aggarwal
hu2012MSR-builddeps,builddeps,hu
campbell2013MSR-Deficient,Deficient,campbell
romansky2017ICSME-timeseries,timeseries,romansky
hasan2016ICSE-Energy-Profiles-of-Java-Collections-Classes,Energy-Profiles-of-Java-Collections-Classes,hasan
